ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,-0.6478222063665681,-1.791365105825032,0.5570377994527121,-0.6478222063665681,-0.6478222063665681,0.0,0.0,0.0,0.0,0.0,0.0,-0.6478222063665681
2024-01-02,-0.5037750920363336,-1.6149954985883073,0.495951414501792,-0.5037750920363336,-0.5037750920363336,0.0,0.0,0.0,0.0,0.0,0.0,-0.5037750920363336
2024-01-03,-0.3597279779034657,-1.5079521192140652,0.7910674329976584,-0.3597279779034657,-0.3597279779034657,0.0,0.0,0.0,0.0,0.0,0.0,-0.3597279779034657
2024-01-04,-0.21568086404367548,-1.3244284312695573,0.9843097217036053,-0.21568086404367548,-0.21568086404367548,0.0,0.0,0.0,0.0,0.0,0.0,-0.21568086404367548
2024-01-05,-0.07163375074327674,-1.078545514740224,1.0635676715723132,-0.07163375074327674,-0.07163375074327674,0.0,0.0,0.0,0.0,0.0,0.0,-0.07163375074327674
2024-01-06,0.07241335994309277,-0.9893699372326175,1.2920839575672896,0.07241335994309277,0.07241335994309277,0.0,0.0,0.0,0.0,0.0,0.0,0.07241335994309277
2024-01-07,0.21646046858735732,-0.8673064574015417,1.3435609686582377,0.21646046858735732,0.21646046858735732,0.0,0.0,0.0,0.0,0.0,0.0,0.21646046858735732
2024-01-08,0.36050757946362083,-0.738302048715051,1.4625999664498006,0.36050757946362083,0.36050757946362083,0.0,0.0,0.0,0.0,0.0,0.0,0.36050757946362083
2024-01-09,0.5045546887832874,-0.5793771808640522,1.6171474222277245,0.5045546887832874,0.5045546887832874,0.0,0.0,0.0,0.0,0.0,0.0,0.5045546887832874
2024-01-10,0.648601798102954,-0.356873024060808,1.7254004403895917,0.648601798102954,0.648601798102954,0.0,0.0,0.0,0.0,0.0,0.0,0.648601798102954
2024-01-11,0.7926489074226207,-0.31332903320405153,1.8730696589898457,0.792648905252162,0.7926489099476979,0.0,0.0,0.0,0.0,0.0,0.0,0.7926489074226207
2024-01-12,0.9366960167422874,-0.14375413251696748,2.0503214098636913,0.9366960093826895,0.9366960244196296,0.0,0.0,0.0,0.0,0.0,0.0,0.9366960167422874
2024-01-13,1.080743126061954,-0.06101156955289204,2.195066908533461,1.0807431115317743,1.0807431404785557,0.0,0.0,0.0,0.0,0.0,0.0,1.080743126061954
2024-01-14,1.2247902353816207,0.19994051031644278,2.4323844262611938,1.2247902128796706,1.2247902578464678,0.0,0.0,0.0,0.0,0.0,0.0,1.2247902353816207
2024-01-15,1.3688373447012874,0.24522502669831778,2.491453343781248,1.3688373118988524,1.3688373767013224,0.0,0.0,0.0,0.0,0.0,0.0,1.3688373447012874
2024-01-16,1.512884454020954,0.3164004556730646,2.6817654433489126,1.5128844104682388,1.5128844959220886,0.0,0.0,0.0,0.0,0.0,0.0,1.512884454020954
2024-01-17,1.6569315633406203,0.44631436177016987,2.664306468248067,1.6569315061147336,1.6569316168759773,0.0,0.0,0.0,0.0,0.0,0.0,1.6569315633406203
2024-01-18,1.800978672660287,0.6534981913668024,2.885701536167185,1.8009786008167297,1.800978738197645,0.0,0.0,0.0,0.0,0.0,0.0,1.800978672660287
2024-01-19,1.9450257819799537,0.8041742392068467,3.025339784736106,1.9450256941691098,1.9450258590058724,0.0,0.0,0.0,0.0,0.0,0.0,1.9450257819799537
2024-01-20,2.0890728912996206,1.0107140060165118,3.301075692983937,2.0890727880081252,2.0890729786349715,0.0,0.0,0.0,0.0,0.0,0.0,2.0890728912996206
2024-01-21,2.2331200006192873,1.0928245704269426,3.3702690368830908,2.233119882623135,2.2331201026170255,0.0,0.0,0.0,0.0,0.0,0.0,2.2331200006192873
2024-01-22,2.377167109938954,1.3223959240649308,3.5518156613195346,2.377166975945678,2.3771672265899984,0.0,0.0,0.0,0.0,0.0,0.0,2.377167109938954
2024-01-23,2.5212142192586207,1.4151991523647225,3.6940720333043964,2.521214071460594,2.5212143531594706,0.0,0.0,0.0,0.0,0.0,0.0,2.5212142192586207
2024-01-24,2.665261328578287,1.5529140542937296,3.810218039957793,2.6652611610840764,2.66526147831105,0.0,0.0,0.0,0.0,0.0,0.0,2.665261328578287
2024-01-25,2.8093084378979536,1.7865574699843156,3.914446807123265,2.8093082508451723,2.8093086021898817,0.0,0.0,0.0,0.0,0.0,0.0,2.8093084378979536
2024-01-26,2.9533555472176203,1.909150803736302,4.081130321011509,2.953355341595411,2.9533557269498565,0.0,0.0,0.0,0.0,0.0,0.0,2.9533555472176203
2024-01-27,3.097402656537287,1.9339565408595383,4.187262625706919,3.0974024288274467,3.097402855606579,0.0,0.0,0.0,0.0,0.0,0.0,3.097402656537287
2024-01-28,3.241449765856953,2.166618516893518,4.312892222657091,3.241449518653725,3.241449979898095,0.0,0.0,0.0,0.0,0.0,0.0,3.241449765856953
2024-01-29,3.3854968751766203,2.24536463867723,4.438573136212797,3.385496607826226,3.385497107110768,0.0,0.0,0.0,0.0,0.0,0.0,3.3854968751766203
2024-01-30,3.5295439844962866,2.3648559190060015,4.612025556461832,3.5295437000565206,3.5295442413975984,0.0,0.0,0.0,0.0,0.0,0.0,3.5295439844962866
2024-01-31,3.6735910938159537,2.5639208272435043,4.8056458584055255,3.673590790334872,3.6735913724679516,0.0,0.0,0.0,0.0,0.0,0.0,3.6735910938159537
2024-02-01,3.8176382031356195,2.7498936190028145,4.955484054023163,3.817637877022385,3.8176385009622007,0.0,0.0,0.0,0.0,0.0,0.0,3.8176382031356195
2024-02-02,3.9616853124552867,2.8684374416023966,5.076052856121817,3.96168496399007,3.9616856301184575,0.0,0.0,0.0,0.0,0.0,0.0,3.9616853124552867
2024-02-03,4.105732421774953,2.981130242520164,5.18059493053724,4.1057320489149065,4.105732764553509,0.0,0.0,0.0,0.0,0.0,0.0,4.105732421774953
2024-02-04,4.249779531094619,3.2118760453832675,5.346360573813253,4.2497791490764065,4.249779898000651,0.0,0.0,0.0,0.0,0.0,0.0,4.249779531094619
2024-02-05,4.393826640414287,3.236029833890716,5.498458757166931,4.393826239096612,4.393827035016113,0.0,0.0,0.0,0.0,0.0,0.0,4.393826640414287
2024-02-06,4.537873749733953,3.434949469140493,5.700601078391442,4.537873325328361,4.5378741698977665,0.0,0.0,0.0,0.0,0.0,0.0,4.537873749733953
2024-02-07,4.681920859053619,3.636783228355932,5.776265541293291,4.681920406154961,4.681921304464944,0.0,0.0,0.0,0.0,0.0,0.0,4.681920859053619
2024-02-08,4.825967968373286,3.7191386326416556,5.92849582924235,4.8259674930988545,4.825968435308747,0.0,0.0,0.0,0.0,0.0,0.0,4.825967968373286
2024-02-09,4.9700150776929535,3.922830407327241,6.032752035082465,4.9700145710394805,4.970015568939057,0.0,0.0,0.0,0.0,0.0,0.0,4.9700150776929535
